first_name,last_name,party,Har ingen registreringspliktige interesser,Styreverv mv.,Selvstendig næring,Lønnet stilling mv.,Tidligere arbeidsgiver,Framtidig arbeidsgiver,Økonomisk støtte,Eiendom i næring,Aksjer mv.,Utenlandsreiser,Gaver,Opplysninger om selskapsgjeld,Andre forhold,Ingen registrerte opplysninger
Torbjørn Røe,Isaksen,H,,"Styremedlem C. J. Hambro's fond (ulønnet)
Medlem av direksjonen i Polyteknisk forening (ulønnet).","Inntekt fra Kopinor etter opptrykk.
Inntekt fra Cappelen Damm etter utgivelse av boken ""Høyre om!"" i
2009.
Fast spalte i Morgenbladet (ikke honorar f.o.m. oktober 2013).
Inntekter fra utgivelsen av boken ""Konservatisme"" på
Universitetsforlaget i 2011.
Honorar fra TV Norge ifm. deltakelse i programmet ""4 stjerners
middag"" september 2012. Honoraret er gitt bort.
Honorar fra NRK for manus + programlederjobb i programserien
""Sommer i P2"" 2012.
Honorar fra Nytt Norsk Tidsskrift for artikkel.
Honorar for vikariat i VG Helg sommeren 2013. Honoraret er gitt
bort.",,,,,,En aksje i Klassekampen AS,"18. - 24. mai 2010 - reise til Paris - International Visitor Program.
Flyreise, hotell og enkelte måltider betalt av den franske stat.
1.-4. november 2010- Reise til Israel/Palestina i regi av Kirkens
nødhjelp. Stortingsgruppen betalte flybilletten. Arrangør betalte
måltider.
26. februar-4.mars 2011- Studietur til Hong Kong i regi av Hong
Kongs myndigheter. Arrangør betalte reise og opphold.
15. - 17. november 2019 - Deltagelse på seminaret Back to University
på Wharton Business school, USA. Konferansen finansiert av Nicolai
Tangen.",,,,
Guri,Melby,V,,"Bystyremedlem i Oslo fra 21/10-15
Nestleder i samferdsels- og miljøkomiteen i Oslo bystyre (lønnet)
Vara til styret i CICERO fra 1/1-16",,,,,,,,,,,,
Iselin,Nybø,V,,"Sentralsyret/landsstyret i Venstre (ulønnet.).
Permisjon fra første vara kommunestyret i Stavanger (lønnet ved
oppmøte).",,,,"Permisjon fra stilling som senioradvokat i advokatfirmaet Simonsen
Vogt Wiig.",,,50 aksjer i Equinor ASA,,,,,
Abid Q.,Raja,V,,"Med i www.minotenk.no som bindeledd mellom styre og rådgivende
organ, ulønnet.
Ambassadør for Friluftsforeningen i forbindelse med Friluftslivets år
2015 (ulønnet, se punkt 11 Gaver).
Ambassadør for Aktiv mot kreft (ulønnet, se punkt 11 Gaver).
Ambassadør for ""Sykle til jobben""-aksjonen (ulønnet).
Styremedlem IPPFORB.com. (ulønnet).
Styremedlem Norges Cykleforbund (godtgjørelse)","Har registrert forfatter/foredragsvirksomhet (org.nr.):
Honorert foredrag for CappelenDamm
Honorert oppdrag som stipendkomitemedlem NFF
Honorert for TV-serie for NRK
Honorar fra Fritt-Ord for debatt
Honorert foredrag Skedsmo kommune
Honorert for TV-program TVNorge over 50.000
Honorert foredrag for Confex
Honorert foredrag for Choice",,"Pensjonsrettigheter fra tidligere statlige stillinger som nemndleder
Utlendingsnemnda, politiadvokat og ambassadesekretær.",,"Stefanus-alliansen Norsk Helsingforskomite bistår med hjelp i
forbindelse med religionsfrihetsarbeidet jeg vært engasjert i.",,,"Opphold i USA 3 uker i februar 2010 ifbm ""IVY-Programme"", sendt
av den amerikanske ambassaden.
FORB - religionsfrihetskonferanse, Oxford, juni 2013 - flybillett og
opphold dekket av British Council gjennom FORB, kostnader hjemme
dekket av Venstre.
FORB-styremøte Washington, opphold 3 dager mars 2015 dekket som
ovenfor, kostnader hjemme dekket av Venstre.
FORB-styremøte London 2016 samt møte med House of Lords,
dekket av USCIRF, kostnader hjemme dekket av Venstre.
Innledet konferanse i Taiwan om religionsfrihet 2016, flybillett og
hotell dekket, kostnader hjemme dekket av Venstre.
Delegasjonsreise til Myanmar regi IPPFORB, besøk hos tre dep i ny
regjering og parlament, flyreise og hotell dekket av USCIRF,
kostnader hjemme dekket av Venstre.
Konferanse i Berlin regi IPPFORB, dekket av Helsingforskomiteen.","Diverse sportstøy merke ""Icepeak"" og ""Fjellreven"" fra
Friluftsforeningen i anledning ambassadøroppdrag for Friluftslivets år
2015.
2015: Skiklær og staver i forbindelse med TV-program med Bjørn
Dæhlie.
2015: Skiklærpakke fra Aktiv mot kreft, som deres ambassadør i
Birkebeinerrennet.
Sommer 2015 i forbindelse med sykkeltur Lindesnes-Nordkapp:
Tesla-lånebil i 4 uker, lån av 2 sykler/hjelm fra Specialized,
sykkelklær til låns fra ASAO - uten forpliktelse til bruk.
Energibarrer fra YT til medsyklist og meg selv, verdi 4 223 kr.
2015: Adidas sko, shorts, trøye fra P4 i anledning program om
løpestunt /Oslo-halvmaraton.
2015: Champagne fra Se og Hør, gitt bort.
2015: Teaterbilletter Latter.
2015: Billetter Det nye norske teater.
2016: 2 billetter boksekamp Homecoming Spektrum.
2016: Teaterbilletter Latter.
2016: Nationaltheater billetter.",,,
Kjell Ingolf,Ropstad,KrF,,Styremedlem i Antislaveriselskapet (ulønnet),,,,,,,,,,,,
Sveinung,Rotevatn,V,,"Styremedlem i Stiftinga Sankta Sunniva, Selja og Stad (ikkje løna).",,,,,,,,,,,,
Jan Tore,Sanner,H,,,,"Mottatt godtgjørelse som medlem av referansegruppen for utredning
(NOU) om ungdom, begynnerlønninger og arbeidsledighet",,,"Unge Høyres Landsforbund dekket enkelte utgifter frem til 1. juli
1994",,,"Presidiemedlem i AAYPL - gjennom denne organisasjonen dekkes
enkelte reiser. Koordineres av Den Norske Atlanterhavskomité","Deltar på den årlige ""Energy policy conference"" på Sanderstølen
Mottatt i forbindelse med 50-årsdag 2015:
- Gavekort fra Kommunal- og moderniseringsdepartementet
- Reisegavekort fra politisk ledelse i KMD
- Håkon Gullvåg litografi fra Høyres fylkesledere
- Hadeland fat fra Fremskrittspartiets stortingsgruppe
- To sølvlysestaker fra Høyres stortingsgruppe
- Mottatt et par vadmelstøvler fra Kvelia-bua, oktober 2015
- Mottatt vase i anledning sesongåpning på Kistefossmuseet
(21.5.2017)
-Zip-line tur i regi av Bergen Base Camp 2. august 2017 (verdi 350
kroner)
- Glasskål laget av kunstnerne Kari Håkonsen og Vidar Koksvik
(verdi ca. 900 kroner) gitt av Carl Otto Løvenskiold i anledning
åpning av skulpturparken på Bærums Verk (august 2020).",,,
Erna,Solberg,H,,Partileder i Høyre (ytelser),Bokutgivelse i 2011,,,,,,,,"Mottatt i forbindelse med 50-årsdag 24.2.2011:
-Sølvskål fra Høyres stortingsgruppe
-Gavekort fra Høyres fylkessekretærer
-Øresmykke fra Høyres fylkesledere
-Kokkekurs fra Fremskrittspartiet v/Siv Jensen
Akvarell fra Tore Hogtvedt
Trykk fra Mia Gjerdrum Helgesen
Smykker fra Nora af Norway
Lås og kjede fra E. Christoffersen
Strikkejakke fra Selbu Husflid AS
- Decadent Copenhagen veske, Bladet Kapital 100 mektigste kvinner,
21. juni 2017.
- Bilde av bygda Finnes i Hjørundfjorden, fra Høyre Møre og
Romsdal, april 2018.",,,
Ine Eriksen,Søreide,H,,Styremedlem i Den norsk-tyske Willy Brandt-stiftelsen (ulønnet),Mottar sporadisk honorar for artikler i aviser og tidsskrifter,,,,,,,"16-17 februar 2009 - deltaker på Mobile World Congress i Barcelona
der hotellopphold dekket av Telenor","Bilde mottatt i forbindelse med foredrag for Det Sjømilitære
Samfunds Sjømaktseminar september 2010
Krystallkaraffel mottatt fra Bergen Militære Samfund for foredrag i
januar 2012
Teppe og kappe mottatt fra provinsguvernør Shafaq i Faryab i
forbindelse med komitéreise til Afghanistan i mars 2012",,,
Regina,Alexandrova,H,,,"1. Har enkeltpersonsforetak: Reginas MultiService (prosjektledelse,
naturbaserte aktiviteter). Utbetalinger på mer en kr 50.000:
a. Fjellguiden Altevatn AS
b. ArcticBioenergy AS
c. Nordnorsk Matfestival SA
2. Registrert som daglig leder på timebasis i ArcticBioenergy AS.",,,,,,,,,,,
Zaineb,Al-Samarai,A,,"Medlem Holmlia SK - mottar 2000 kroner i året dersom jeg ikke har
for mye forfall.
Varamedlem til Oslo Bystyret og finanskomiteen - møtegodtgjørelse
etter Oslo Kommunens satser",,jobber som konsulent i Rud Pedersen Public Affairs,,,,,,,,,,
Grethe,Andersen,FrP,,,,Ansatt 80 pst. i Meløy kommune,,,,,,,,,,
Kari Anne Bøkestad,Andreassen,Sp,,Ordfører Vevelstad kommune (godtgjørelse),"Veterinær, selvstendig næringsdrivende",,,,,,"Aksjer i Torghatten ASA - direkte, og indirekte gjennom AS Moheim
(eierandel: 16,7 %)",,,,,
Nancy P.,Anti,Sp,,"Styremedlem og sekretær i reinbeitedistrikt 9, lønnet sekretærdel.
Styremedlem i Sirma bygdelag, Sirma grendehus og Luohkka
vannverk, ikke lønnet,
Vara i Tana kommunestyre, vara til Sametinget, vara til Samerådet,
godtgjørelse ved møte.","Reindrift som hovednæring,
Freelance som tolk, godtgjørelse på mer enn 50 000 fra
Domstoladministrasjonen.",,,,,,,,,,,
Yassine,Arakia,H,,"Styremedlem, Oslo Røde kors, ikke lønnet
Bystyrerepresentant i Oslo (2019-2023), lønnet",,"Lektor, Utdanningsetaten i Oslo",,,,,,,,,,
Seher,Aydar,R,,"Ingen lønnet verv.
Styremedlem i Solidaritet med Kurdistan.",,,,,,,,,,,,
Gina,Barstad,SV,,,,"Rådgiver i Kreftforeningen,",,,,,,,,,,
Didrik,Beck,A,,International Commition of Jurists (ICJ) - ulønnet.,,Advokatfullmektig,,,,,1 aksje i Klassekampen,"Reise til Tyrkia 8. - 14. januar 2020 (betalt av Intarnational
Commition of Jurists (ICJ)).",,,,
Renate Sølversen,Berge,H,,"Fylkestingsrepresentant Vestfold, samt medlem av hovedutvalg for
klima- energi og næring. Godtgjørelse. Medlem av fellesnemnd for
Vestfold og Telemark. Godtgjørelse.",,"Stilling som lærer/lektor ved Nøtterøy videregående skole (Vestfold
Fylkeskommune).",,,,,,,,,,
Mona,Berger,SV,,"Fylkesleder Fellesorganisasjonen Trøndelag - lønnet verv.
Landsstyrerepresentant Fellesorganisasjonen - ulønnet verv.
Vararepresentant til bystyret i Trondheim for SV.",,"Fylkesleder Fellesorganisasjonen Trøndelag 100 pst. frikjøpt fra
ordinær stilling som fagleder i Trondheim kommune.","Har ulønnet permisjon fra stilling som fagleder i Trondheim
kommune.",,,,,,,,,
Arne,Bergsvåg,Sp,,"Folkevald i Rogaland fylkesting (til saman ca. 80 prosent stilling,
godtgjersle): Medlem fylkesting, fylkesutval, samferdselsutval,
trafikksikringsutval, diverse styringsgrupper, gruppeleiar
Senterpartiet.
Folkevald i Vindafjord kommune (til saman ca. 3 prosent stilling,
godtgjersle): Medlem kommunestyre, formannskap,
Leiar Vågslid Beitelag, ikkje lønna.
Leiar Vindafjord Tomteselskap, ikkje lønna.",,Sjå pkt. 2,,,,,,,,,,
Mathias,Bernander,H,,"Fylkestingsrepresentant, Vest-Agder - Lønnet
Nestleder, Kristiansand Høyre - Ulønnet
Styremedlem, Agder kollektivtrafikk AS - Lønnet
Styremedlem, Sørlandets Europakontor - Lønnet
Styremedlem, Lindesregionens næringshage - Lønnet",,Rådgiver - Kristiansand Havn KF,,,,,,,,,,
Idun Kristine,Bortne,V,,"Varamedlem styret Tannlege Ingval Bortne AS (ulønnet).
Varamedlem styret KS-Holding (ulønnet). Komitéleder Barnehage,
skole og oppvekst, Bergen kommune (lønnet).",,,Permisjon: Associate Director - Turner & Townsend Pearson Lugard,,,,,,,,,
Tone Heimdal,Brataas,FrP,,"Vardar AS, styremedlem, honorar
Røyken Eiendom AS, styremedlem, lønnet fra 2014
Røyken Eiendomsutvikling AS, honorar 2014","Brataas regnskap og kontorservice (ubetydelig omsetning 2013)
Mikro Dataregnskap AS",Daglig leder Mikro Dataregnskap AS,,,,,Mikro Dataregnskap AS,,,,,
Trude,Brosvik,KrF,,"Sogn og Fjordane fylkesting, fylkesutval og hovedutval for opplæring,
løna verv
Leiar Sogn og Fjordane KrF, uløna verv
Styreleiar, Vestlandsforsking, godtgjerdsle",gardbrukar,"kyrkjeverje, Den norske Kyrkja",,,,"Gnr 1, bnr 8, Gulen kommune",,,,,,
Anne Kristin,Bryne,A,,"Ålesund bystyre - honorar/ møtegodtgjørelse
Ålesund formannskap - honorar/ møtegodtgjørelse
Plan- og byggesaksutvalg - møtegodtgjørelse
Fellesnemd nye Ålesund kommune - honorar/ møtegodtgjørelse
Ålesund kommunale eiendom - styremedlem - honorar/
møtegodtgjørelse
Ålesundsregionens interkommunale miljøselskap - medlem
representantskap - honorar/ møtegodtgjørelse",,,,,,,,,,,,
Leif Erik,Egaas,H,,"50% Varaordfører i Eigersund kommune, trekkes i honorar derfra de
dager jeg møter på Stortinget.
Styreleder i kommunalt foretak Eigersund Næring og Havn KF fram
til 3. februar 2020. Vanlig møtehonorar ved styremøter.
Leder av Representantskapet i Rogaland Revisjon. Vanlig
møtehonorar.",,"Førsteinspektør i 50% stilling i Fiskeridirektoratet. Søker fritak uten
lønn for de dagene jeg møter på Stortinget.",,,,,,,,,,
Pål Sæther,Eiden,H,,"Ottersøy Barnehage SA - Styreleder - lønnet.
Namdal Rehabilitering - Styreleder - lønnet.
RIL Anlegg - medlem - ulønnet.
Trøndelag Høyre fylkestingsgruppe - ulønnet.",,"PT Gruppeleder Høyres Fylkestingsgruppe i Trøndelag. Trøndelag
fylkeskommune. Permisjon fra stilling som Helse- og sosialsjef i
Vikna kommune",Permisjon u lønn i den tiden jeg er vara på Stortinget,,,,,,,,,
Tove,Eivindsen,V,,"Fylkestingsrepresentant og nestleder for hovedutvalg næring,
Trøndelag fylkeskommune, 45 pst. frikjøp.
Medlem i representantskapet i Kreftforeningen. Ikke lønnet.
Styremedlem, ICOM MPR (ICOM, The International Council of
Museums, the international committee for marketing and public
relations). Ikke lønna.
Medlem i kontrollkomiteen, Norsk kommunikasjonsforening. Ikke
lønna.",,"100 pst. stilling som kommunikasjonsleder ved NTNU
(Vitenskapsmuseet).","Kombinerer ferie, samt permisjon uten og med lønn, når jeg nå møter
som vara.",,,,,,,,,
Anette Carnarius,Elseth,FrP,,"Medlem kommunestyre og formannskap i Sørum kommune,
møtegodtgjørelse
Nestleder i Eiendomsselskapet KF i Sørum kommune,
møtegodtgjørelse",,Politibetjent i Romerike politidistrikt,,,,,,,,,,
Geir Arild,Espnes,Sp,,,,,,,,,Volden Innovasjon sovende enkeltmannsforetak 100%,,,,,
Solveig Skaugvoll,Foss,SV,,"2. vara til helse- og omsorgskomiteen i Grünerløkka bydelsutvalg
(godtgjørelse ved oppmøte)",,100% ansatt som regionsekretær i Natur og Ungdom,,,,,,,,,,
Bjørn Arild,Gram,Sp,,"Ordfører i Steinkjer kommune (lønnet)
Nestleder i KS (godtgjøring)
Styremedlem i Helse Nord-Trøndelag HF (godtgjøring)
Fylkestingsmedlem i Nord-Trøndelag (godtgjøring)",,Se punkt 2.,,,,"Eier av gården Øvre Skjefte i Steinkjer (gnr. 189, Bnr. 2)","1220 aksjer i Telenor ASA
4 aksjer i AS Nord-Trøndelag",,,,,
Katrine Boel,Gregussen,SV,,"-Kommunestyrerepresentant for Lenvik Kommune, 2012-d.d. (får
møtegodtgjørelse)
- Kontrollutvalget i Lenvik Kommune, 2015-d.d. (Møtegodtgjørelse)
- Valgnemnda i Lenvik Kommune, 2012-d.d. (Møtegodtgjørelse)",,"Hjelpepleier, Lenvik Kommune",,,,,,,,,,
Simon Molvær,Grimstad,KrF,,"Bystyrerepresentant i Ålesund kommune (lønnet)
Leder kultur og oppvekstutvalget i Ålesund kommune (lønnet)",,Ungdomsleder i Jar menighet.,,,,,,,,,,
Liv,Gustavsen,FrP,,"1) Nes Kommune Akershus, FrP Kommunestyrerepresentant 2015-
2019.
2) Nes Kommune Akershus, Leder av Kontrollutvalget 2015-2019.
3) Akershus FrP, Leder fra 2015-2018/juni.
4) Akershus Fylkestingsgruppe, 1.vara til Samferdsel og 1. vara til
Plan&Næring, 2015-2019.
Punkt 1, 2 og 4 har møte godtgjørelse.
Punkt 3 har en årlig fast godtgjørelse samt møtegodtgjørelse.","Som ansatt i utlandet har jeg også et skrivebords selskap, hvor jeg kun
fakturerer kostnader som fix cost (bil leasing, kontor leie m.m) da min
arbeidsgiver ikke har kontor eller andre ansatt i Norge, fakturerer jeg
dem for disse kostnadene.","Jeg er ansatt ved SAPPI EUROPE, i Brussel.
Sales manager Scandianvia.
100% stilling.
www.sappi.com","Jeg jobber i dag ved Sappi og er kun inne som 1. vara ved Stortinget i
perioden 2017-2021.",,,"1 Selveierleilighet som leies ut.
Voldsgate 8, 2000 Lillestrøm.",,,,,,
Monica Carmen,Gåsvatn,H,,"Østfold fylkesting, medlem, lønnet
Opplæring-, kultur- og helsekomiteen, medlem, lønnet
Østfoldhelsa, medlem, lønnet
KS, vara, lønnet
Sarpsborg bystyre, vara, lønnet
ASVO, medlem, lønnet
Borg Havn, medlem, lønnet
Sarpsborg FRP, leder, lønnet
NRF Østfold, leder, lønnet",,"Teamleder Sarpsborg kommune, 90 prosent stilling
Fylkespolitiker Østfold fylkeskommune, 10 prosent stilling",,,,,,,,,,
Ingjerd Thon,Hagaseth,V,,Styremedlem Innlandet begravelsesbyrå AS (ikke lønnet),Valdres råd og konsulent (liten aktivitet),Prosjektleder NAV Oppland,,,,,,,,,,
Carl I.,Hagen,FrP,,"Styreleder i CARLELI AS
Medlem Domstolkommisjonen
Medlem Oslo Bystyre",Foredragsvirksomhet/artikler,"20 % stilling i Oslo FrPs bystyregruppe
Møtehonorar Domstolkommisjonen",Tjenestepensjon fra Stortinget er stoppet når jeg møter,,,,50 % eierandel i Carleli AS,,,,,
Torleif,Hamre,SV,,"1) Vara (ansatterepresentant) styret Stiftelsen Norsk Folkemuseum,
ulønnet.
2) Kommunalpolitiske verv Eidsvoll kommune: medlem
kommunestyre, formannskap, administrasjonsutvalg og hovedutvalg
for helse og omsorg, leder sistnevnte utvalg - godtgjørelser etter
regulativ Eidsvoll kommune.",,"Stiftelsen Norsk Folkemuseum, Eidsvoll 1814: førstekonservator,
seksjonsleder og nestleder - 100 pst. fast stilling.","Permisjon uten lønn fra arbeidsgiver Stiftelsen Norsk Folkemuseum
for dager da jeg møter som vara i Stortinget",,,,,,,,,
Øystein,Hassel,A,,"- Bystyrerepresentant og medlem av Komite for helse og sosial,
Bergen kommune. Jeg mottar møtegodtgjørelse pr. møte.
- Styreleder, Boligsameiet Øvre Stadionveien 1 (ikke lønnet)
- Styremedlem, Arbeiderpartiet i Bergen (ikke lønnet)
- Styremedlem, Laksevåg Arbeidersamfund (ikke lønnet)
- Medlem av rådet, Stiftelsen Akvariet i Bergen i perioden 2016-2019.
Oppnevnt av Bergen bystyre som representant for Bergen kommune.
Jeg mottar årlig en godtgjørelse på 5000 kr.
- Varastyremedlem, Midtun Vekst AS. Oppnevnt av byrådet i Bergen
kommune. Jeg mottar møtegodtgjørelse pr. møte jeg eventuelt blir
innkalt til og stiller på.",,"Deltidsjobb som brukerstyrt personlig assistent (BPA), Uloba –
Independent Living Norge SA.",,,,,,,,,,
Kristoffer Robin,Haug,MDG,,,Enkeltpersonforetak: Konsulent Kristoffer Robin Haug,Rådgiver i Norges forskningsråd,,,,,IPS-sparing i Storebrand,,,,,
Kim André,Haugan Schei,Sp,,"Varamedlem til styret i Arbor AS, ikke lønnet.",,Produksjonsmedarbeider Arbor AS,,,,,,,,,,
Iselin,Haugo,H,,"Fylkestingsrepresentant, Buskerud
Styremedlem, Hallingporten Vegfinans",,"Sykepleier, Hallingdal Legevaktsentral",,,,,,,,,,
Heidi,Herum,Sp,,"Varaordfører Bamble kommune (lønnet).
Fylkestingsmedlem Telemark (lønnet).
Styremedlem Frier vest as (ulønnet).
Styremedlem Ungt entrepenørskap Telemark (ulønnet).
Styremedlem Bamble skogeierlag (lønnet).
Rep.skap Grenland havn (ulønnet).
Styremedlem vekst i Grenland (lønnet).",Selvstendig næringsdrivende gårdbruker,,,,,,,,,,,
Astrid Margrethe,Hilde,A,,"verneområdestyret for Oksøy -Ryvingen og Flekkefjord
landskapsvernområde ( oppnevnt av miljø dir) - lønnet pr møte
Søgne industriselskap - Frem til juni 2020 - godgjøring pr møte
Leif huberts legat - styremedlem frem til ca juni 2020 - ulønnet
Leder Agder Kulturskoleråd - lederverv lønnet med engangssum pr år.",,"fast ansatt i 100 % stilling som Seniorrådgiver Samfunnskontakt for
Agder Energi Nett AS",,permisjon på vanlige betingelser for oppmøte i folkevalgt organ.,,,,,,,,
Sigurd,Hille,H,,"Avis Consult AS, styreleder, ikke lønnet
Johakri AS, styreleder, ikke lønnet
Helse Vest RHF styremedlem (fra 15. feb. 2018), godtgjørelse",,,,,,,"500 aksjer i Entra AS
1500 aksjer i Gjensidige Forsikring
100 % eier av Avis Consult AS
100 % eier av Johakri AS
64203 aksjer i NEL ASA
10000 aksjer i Lavo.TV AS",,,,,
Aud,Hove,Sp,,"Leder rovviltnemnda Oppland (godtgjørelse).
Styreleder Kraftfylka (godtgjørelse).",,Permisjon som fylkesvaraordfører Innlandet (25/3 - 12/6).,,,,,,,,,,
Mani,Hussaini,A,,"Fylkestingsmedlem i Akershus (lønnet)
Medlem hovedutvalg for utdanning AFK (Lønnet)
Kommunestyrerepresentant Ullensaker kommune (lønnet)
Medlem NRK Østlandssendingen distriktsprogramråd (lønnet)
Vara generalforsamlingen DNB Sparebankstiftelsen (lønnet)
Medlem skoleutvalget Skedsmo vgs (lønnet)",,,,,,,,,,,,
Arve,Høiberg,A,,"Fylkestingsrepresentant Vestfold og Telemark fylkeskommune -
hovedutvalgsleder (godtgjørelse)
Telemark museum (lønnet)
Vegfinans AS (lønnet)",,,,,,,,,,,,
Hilmar,Høl,A,,"Styreleiar i SF Holding a/s - Godtgjersle Sogn og Fjordane
fylkeskommune.
Styremedlem i ÅB eigedom - Godtgjersle Årdal kommune.
Fast medlem i fylkesutvalget i Sogn og Fjordane fylkeskommune. Fast
godtgjersle.
Formannskapsmedlem i Årdal kommune. Fast godtgjersle",,Jobber hos Hydro Aluminium Årdal Metallverk,,,,,"4 000 aksjar i Norsk Hydro ASA.
Ca. 150 aksjar i Equinor ASA.","Oljemesse i Houston, Texas, mai 2014, Sogn og Fjordane
fylkeskommune.",,,,
Stine Renate,Håheim,A,,,"Deltok i panelsamtale under bokarrangement på Sølvberget, Stavanger
Kulturhus, 29. sept 2016. (Honorar betalt av Sølvberget)",,,,,,,"Foredrag på konferanse om ""Woman's Participation in Political Parties
- Obstacles, Challenges and Opportunities for change"" i Beirut.
Opphold dekket av International Alert. Tidspunkt: 4.-6. juni 2010",,,,
Oddvar,Igland,Sp,,Gruppeleder i kommunestyret (godtgjørelse),,Ass. generalsekretær i Senterpartiet,,,,,,,,,,
Jan Steinar Engeli,Johansen,FrP,,"Medlem av Formannskapet i Averøy Kommune, Godtgjørelse
Medlem av Kommunestyret i Averøy, Godtgjørelse
Styreleder SG Metallteknikk AS, ulønnet
Styreleder Norgesbeslag AS, ulønnet
Styreleder Unika AS, Godtgjørelse
Styreleder Zebra Graphic AS, ulønnet
Nestleder Atlanterhavstunnelen AS, Godtgjørelse",,,,,,"Produksjonslokaler i Næringsveien 40, Røsand industriområde, 6530
Averøy","SG Metallteknikk AS (30%)
Norgesbeslag AS (50%)
Zebra Graphic AS (50%)",,,,,
Ole-Jacob,Johansen,FrP,,Styremedlem Asker Fotball. Ulønnet,Innkalt vararep. ikke pliktig å oppgi,,,,,,,,,,,
Kjell-Idar,Juvik,A,,"Kommunstyrerepresentant og Formannskapsmedlem Hemnes
kommune, møtegodtgjørelse
Styrereleder Kommunekraft AS, møtegodtgjørelse
Sekretær i Hemnes Dykkeklubb, ulønnet
Styreleder Hemnes Båt & Fjordfestival, ulønnet
Styreleder Hemnes IL, ulønnet",,"Mo i Rana Havn KF, Prosjektleder, engasjement",,,,,,,,,,
Kari-Anne,Jønnes,H,,"Nestleder, planutvalget i Gran (godtgjørelse)
Medlem av fylkestinget (godtgjørelse)
Medlem av fylkesutvalget (godtgjørelse)
Medlem av administrasjonsutvalget (godtgjørelse)
Medlem av klagenemnd (godtgjørelse)
Medlem av yrkesopplæringsnemnd (godtgjørelse)
Medlem av fellesnemnd for fylkessammenslåing (godtgjørelse)
Medlem av arbeidsutvalg for fylkessammenslåing (godtgjørelse)
Medlem for Rovviltnemnd region 3 (godtgjørelse)
Eidsiva Energi AS Medlem av bedriftsforsamling (godtgjørelse)
Eidsiva Energi AS: Medlem av valgkomite (godtgjørelse)
Sparebank 1 Ringerike Hadeland: Leder av representantskap
(godtgjørelse)",,,,,,,"Sparebank 1 Ringerike Hadeland, 300 egenkapitalbevis
Tveten Park AS, 134 aksjer",,,,,
Marius Meisfjord,Jøsevold,SV,,"Fylkestingsrepresentant - Nordland fylkesting. Lønnet verv.
Generalforsamling - sparebankstiftelsen, Helgeland Sparebank.
Møtegodtgjørelse ved oppmøte.",,,,,,,,,,,,
Tom,Kalsås,A,,"Medlem av kommunestyret og formannskapet i Gjesdal kommune
(godtgjørelse).
Styremedlem i Forus Folkehelsesenter AS, Forus Flerbrukshaller AS
og Forus Bedriftsidrettsarena AS (Haver Advokatfirma AS fakturerer
kr 1900 per time).",,Ansatt advokat i Haver Advokatfirma AS,,,,,,,,,,
Geir Hågen,Karlsen,FrP,,,"Daglig leder/innehaver Karlsen Consulting.
Daglig leder/styreformann Nybrent AS",Fast ansatt oberstløytnant i Forsvaret.,,,,,Nybrent AS eier 100%.,,,,,
Steinar,Karlstrøm,A,,"Styreleder Kvænangen Produkter AS - styrehonorar
Vara styret Alta Industribygg AS - styrehonorar
Nestleder bransjeforeninga Arbeid & Inkludering, NHO - styrehonorar",,Adm direktør Aksis Arbeid og Kompetanse AS,,,,,,,,,,
Ragnhild H.,Kaski,A,,"Varamedlem til styret i Stiftelsen Kirkens Bymisjon Tromsø (ikke
lønnet)
Varamedlem til stryet i Stiftelsen Kirkens Bymisjon i Bodø (ikke
lønnet)",,Kommunikasjonssjef i stiftelsen Kirkens Bymisjon Oslo.,,,,,,,,,,
Mats A.,Kirkebirkeland,H,,"•Kirkebirkeland Holding AS, styreleder, ikke godtgjøring
•Smartegadgets.no AS, styremedlem, godtgjøring mottas
•Stavangergata 46 Borettslag, styremedlem, godtgjøring mottas",,"Rådgiver (80 prosent stilling), Tankesmien Civita AS.",,,,,"• Kirkebirkeland Holding AS - 100 prosent eierandel.
• Smartegadgets.no AS - 25 prosent eierandel-
•Havila Shipping ASA - mindre enn 0,1 prosent.
•Aqua Bio Technology ASA - mindre enn 0,1 prosent.",,,,,
Gülsüm,Koc,H,,"Nordstrand Oslo Høyre, sitter i Oslo Høyres representantskap. Begge
vervene er ulønnet.",,"Jeg er 100% ansatt hos Juristenes Utdanningssenter som
Fagligansvarlig jurist.",,,,Eier en bolig ved adresse Ragnhild Schibbyes vei 4. 0968 Oslo.,,,,,,
Tonje,Kopstad,SV,,"Leder Gol SV ulønnet
Styremedlem Buskerud SV ulønnet
Styreleder i legat for pasienter ved Gol helsetun ulønnet
Styremedlem i Hallingdal folkehøgskule møtegodtgjørelse
Styremedlem Utdanningsforbundet Buskerud møtegodtgjørelse",,Personalsjef for Gol kommune,,,,"Halvpart av enebolig, Briskevegen 16, eneie i Gol kommune
Halvpart av fritidsbolig, eneeie i Nord-Aurdal kommune",,,,,,
