rep_number,first_name,last_name,party,Har ingen registreringspliktige interesser,Styreverv mv.,Selvstendig næring,Lønnet stilling mv.,Tidligere arbeidsgiver,Framtidig arbeidsgiver,Økonomisk støtte,Eiendom i næring,Aksjer mv.,Utenlandsreiser,Gaver,Ingen registrerte opplysninger
128,Solveig Sundbø,Abrahamsen,H,,"Styremedlem i:
Sparebanken Din (godtgjering),
Kommunekraft AS (inga godtgjering),
E134 og Rv36 Telemark AS (godtgjering),
Styreleiar i Brattefjell Vindeggen landskapsvernområde
(godtgjering).
Varamedlem til landstyret i LVK (godtgjering).
Medlem av Telemark fylkesting
Kommunerepresentant Seljord kommune",,,,,,,,,,
142,Elin Rodum,Agdestein,H,,"Høy & Rodum Eiendom AS, styreleder
KomRev Trøndelag IKS, styreleder (lønnet)
HRE Holding AS, styreleder
Dr. Agdestein AS, styremedlem (vara)
Steinkjer Montessoribarnehage, styremedlem
Naboer AB, styremedlem
Steinkjer Montessoriforening, styremedlem",,,,,,"Fyrgt 3, Steinkjer
Kongensgt 38, Steinkjer
Otto Sverdrups vei 50, Steinkjer
Åsveien 57-59, Steinkjer","Høy & Rodum Eiendom AS
HRE Holding AS",,,
137,Regina,Alexandrova,H,,,"1. Har enkeltpersonsforetak: Reginas MultiService (prosjektledelse, naturbaserte aktiviteter). Utbetalinger på
mer en kr 50.000:
a. Fjellguiden Altevatn AS
b. ArcticBioenergy AS
c. Nordnorsk Matfestival SA
2. Registrert som daglig leder på timebasis i ArcticBioenergy AS. Har sendt sms og snakket med styreleder og
bedt om at jeg blir tatt ut av denne rollen og at dette blir
oppdatert i Brønnøysundregistrene. (Sms sendt søndag
20.okt).
3. Er registrert som daglig leder av Nordnorsk Matfestival SA. Samvirkeforetaket er under avvikling.",,,,,,,,,
155,Dag Terje,Andersen,A,True,,,,,,,,,,,
48,Karin,Andersen,SV,,Styremedlem i Høgskolestiftelsen i Kongsvinger (møtegodtgjørelse),,,,,,,,,"To billetter til Peer Gynt-forestillingen og to overnattinger på hotell for to personer i forbindelse med oppdrag om
å dele ut årets Peer Gynt i 2010. Betalt av Peer Gynt AS.",
141,Marit,Arnstad,Sp,True,,,,,,,,,,,
19,Henrik,Asheim,H,,"Styremedlem i Sex og Samfunn 2012-2014, vervet er
godtgjort, men har frasagt meg godtgjørelsen
1.vara i styret i Bærum Montesorriskole, ulønnet",,,,,,,,,,
149,Jorodd,Asphjell,A,,"1. visepresident i Norges Idrettsforbund og i Norges
olympiske og paralympiske komité, godtgjørelse
Styremedlem i Birka AS (Nasjonalt senter for kunst og
håndverk), godtgjørelse
Styremedlem Orkdal IL, ulønnet",,,,,,,,,,
91,Nikolai,Astrup,H,,"Nestleder i Høyres Stortingsgruppe (godtgjørelse)
Styreleder Pactum Beta AS (ulønnet)
Styreleder Pactum Epsilon AS (ulønnet)
Styremedlem Pactum AS (ulønnet)
Medlem Rådsforsamlingen i Ernst G Mortensens Stiftelse - Campus Kristiania (godtgjørelse)
Styremedlem AS Bjørgvin (godtgjørelse)
Styreleder i Stiftelsen Minervafondet (ulønnet)
Leder av Oslo Høyre (godtgjørelse)",,,,,,"Eierandel i Gullhaug Torg 1 ANS, Oslo","Pactum Beta AS
Pactum Epsilon AS
(Pactum Beta AS og Pactum Epsilon AS er holdingselskaper som eier aksjer i familievirksomhetene Pactum AS
og AS Bjørgvin, selskaper som investerer i aksjer og
andre verdipapirer, shipping og næringseiendom.)
Gullhaug Torg 1 ANS","9 - 21. mai 2010 - reise i USA (Washington DC, Oklahoma og California) som deltaker på International Visitor Leadership Programme, betalt av US Department of
State","Ladekabel for elbil, type 2, gave fra Fortum i mai 2014.",
21,Åsmund,Aukrust,A,True,,,,,,,,,,,
38,Frank,Bakke-Jensen,H,,Styreleder Båtsfjord Reiseservice A/S (lønnet),100 % eier i Båtsfjord Reiseservice AS,,,,,,Båtsfjord Reiseservice A/S,,,
132,Geir Jørgen,Bekkevold,KrF,,"Styremedlem i Telemark Fylkesbibliotek- oppnevnt av
Telemark fylkesting (kun møte- og reisegodtgjørelse)",,,,,,,,,"Gave fra det Sveitiske parlament, en klokke - merke A R
Art Fashiontime - i forbindelse med OSCE-PA sitt høstmøte (2014) i Geneve.",
9,Norunn Tveiten,Benestad,H,,"Nestleder i Sparebanken Pluss, Kristiansand. Lønnet.
Avsluttes ved nyttår 2013/2014.
Styremedlem i Avfall Sør AS, Kristiansand. Lønnet.
Styremedlem i Avfall Sør Husholdning AS, Kristiansand. Lønnet
Rådsmedlem i stiftelsen Cultiva, Kristiansand. Møtegodtgjørelse.
Medlem i Formannskapet i Kristiansand for valgperioden
2011-2015. Lønnet. Har meldt stående forfall og mottar
ikke lønn i stortingsperioden.
Medlem av Kommunalutvalget i Kristiansand kommune.
Lønnet. Har meldt stående forfall og mottar ikke godtgjørelse i stortingsperioden.
Medlem av Bystyret i Krisansand. Lønnet. Har meldt
stående forfall og mottar ikke godtgjørelse i stortingsperioden.",,,"Har permisjon fra Cappelen Damm, mottar ikke lønn i
stortingsperioden.",,,,,,,
74,Lisbeth,Berg-Hansen,A,,"Styremedlem/daglig leder i JMJ-Invest AS (ulønnet).
Selskapets formål er å eie familiens aksjer i SinkaBergHansen AS.
Styremedlem i stiftelsen Lene Maria for rent vann (ulønnet)
Medlem av SINTEF sitt råd",,,,,,,JMJ-Invest AS,,,
41,Kirsti,Bergstø,SV,,,,,,,,,,,,True
69,Fredric Holen,Bjørdal,A,True,,,,,,,,,,,
